Ticker,Company,Ind
ANF,ABERCROMBIE & FITCH CO /DE/,RUSSEL 2000
ANGO,ANGIODYNAMICS INC,RUSSEL 2000
ANIK,"Anika Therapeutics, Inc.",RUSSEL 2000
ANIP,ANI PHARMACEUTICALS INC,RUSSEL 2000
ANNX,"Annexon, Inc.",RUSSEL 2000
AOMR,"Angel Oak Mortgage REIT, Inc.",RUSSEL 2000
AORT,"ARTIVION, INC.",RUSSEL 2000
AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,RUSSEL 2000
APAM,Artisan Partners Asset Management Inc.,RUSSEL 2000
APG,APi Group Corp,RUSSEL 2000
APGE,"Apogee Therapeutics, Inc.",RUSSEL 2000
APLD,Applied Digital Corp.,RUSSEL 2000
APLE,"Apple Hospitality REIT, Inc.",RUSSEL 2000
APOG,"APOGEE ENTERPRISES, INC.",RUSSEL 2000
APPF,APPFOLIO INC,RUSSEL 2000
APPN,APPIAN CORP,RUSSEL 2000
APPS,"Digital Turbine, Inc.",RUSSEL 2000
ARAY,ACCURAY INC,RUSSEL 2000
ARCB,ARCBEST CORP /DE/,RUSSEL 2000
ARCH,"ARCH RESOURCES, INC.",RUSSEL 2000
ARCT,Arcturus Therapeutics Holdings Inc.,RUSSEL 2000
ARDX,"ARDELYX, INC.",RUSSEL 2000
ARI,"Apollo Commercial Real Estate Finance, Inc.",RUSSEL 2000
ARIS,"Aris Water Solutions, Inc.",RUSSEL 2000
ARKO,ARKO Corp.,RUSSEL 2000
ARL,AMERICAN REALTY INVESTORS INC,RUSSEL 2000
ARLO,"Arlo Technologies, Inc.",RUSSEL 2000
AROC,"Archrock, Inc.",RUSSEL 2000
AROW,ARROW FINANCIAL CORP,RUSSEL 2000
ARQT,Arcutis Biotherapeutics Inc,RUSSEL 2000
ARR,"Armour Residential REIT, Inc.",RUSSEL 2000
ARRY,"Array Technologies, Inc.",RUSSEL 2000
ARTNA,ARTESIAN RESOURCES CORP,RUSSEL 2000
ARVN,"ARVINAS, INC.",RUSSEL 2000
ARWR,"ARROWHEAD PHARMACEUTICALS, INC.",RUSSEL 2000
ASAN,"Asana, Inc.",RUSSEL 2000
ASB,ASSOCIATED BANC-CORP,RUSSEL 2000
ASC,Ardmore Shipping Corp,RUSSEL 2000
ASGN,ASGN Inc,RUSSEL 2000
ASIX,AdvanSix Inc.,RUSSEL 2000
ASLE,AerSale Corp,RUSSEL 2000
ASO,"Academy Sports & Outdoors, Inc.",RUSSEL 2000
ASPN,ASPEN AEROGELS INC,RUSSEL 2000
ASRT,"Assertio Holdings, Inc.",RUSSEL 2000
ASTE,ASTEC INDUSTRIES INC,RUSSEL 2000
ASTS,"AST SpaceMobile, Inc.",RUSSEL 2000
ASUR,ASURE SOFTWARE INC,RUSSEL 2000
ATEC,"Alphatec Holdings, Inc.",RUSSEL 2000
ATEN,A10 Networks Inc,RUSSEL 2000
ATEX,Anterix Inc.,RUSSEL 2000
ATGE,Adtalem Global Education Inc.,RUSSEL 2000
ATI,ATI INC,RUSSEL 2000
ATKR,Atkore Inc.,RUSSEL 2000
ATLC,Atlanticus Holdings Corp,RUSSEL 2000
ATLO,AMES NATIONAL CORP,RUSSEL 2000
ATMU,Atmus Filtration Technologies Inc.,RUSSEL 2000
ATNI,"ATN International, Inc.",RUSSEL 2000
ATNM,"Actinium Pharmaceuticals, Inc.",RUSSEL 2000
ATOM,Atomera Inc,RUSSEL 2000
ATRA,"Atara Biotherapeutics, Inc.",RUSSEL 2000
ATRC,"AtriCure, Inc.",RUSSEL 2000
ATRI,ATRION CORP,RUSSEL 2000
ATRO,ASTRONICS CORP,RUSSEL 2000
ATSG,"Air Transport Services Group, Inc.",RUSSEL 2000
